"chave_monitoramento","tipo","nome","cnpj","codigo_fip","endereco","cidade_uf_cep","ddd","tel","fax","site","email","data_autorizacao_cadastramento","entcodigo","codativo"
"resseguradora admitida::40126","Resseguradora Admitida","XL RE EUROPE SE","52.049.349/0001-11","","","SÃO PAULO - Cep: 04543000","11","35139223 -","9223","","xlc-relacoes.resseguros@xlcatlin.com","","40126","True"
"resseguradora admitida::40215","Resseguradora Admitida","MAPFRE RE COMPAÑÍA DE REASEGUROS S.A","05.723.617/0001-59","","","SAO PAULO - Cep: 04551-000","11","30401900 -","30401940","www.mapfrere.com","mapfrere.br.suseprelations@mapfre.com","","40215","True"
"resseguradora admitida::40851","Resseguradora Admitida","CHUBB TEMPEST REINSURANCE LTD. - ESCRITÓRIO REPRESENTAÇÃO NO BRASIL LTDA.","10.335.860/0001-30","","","SÃO PAULO - Cep: 05402920","11","4504","4504","","rodrigo.costa@chubb.com","","40851","True"
"resseguradora admitida::41262","Resseguradora Admitida","SCOR SE","05.708.388/0001-01","","","RIO DE JANEIRO - Cep: 20091-007","21","3514-9408 -","3514-9408","www.scor.com","fviana@scor.com","","41262","True"
"resseguradora admitida::41416","Resseguradora Admitida","FACTORY MUTUAL INSURANCE COMPANY","10.916.851/0001-32","","","SÃO PAULO - Cep: 04543-907","11","3077-3900 -","","","RoseEdith.Linero@fm.com","","41416","True"
"resseguradora admitida::41491","Resseguradora Admitida","HANNOVER RÜCK SE","09.486.274/0001-07","","","RIO DE JANEIRO - Cep: 22250145","21","39005255 -","","www.hannover-re.com","escritorio-de-representacao@hannover-re.com","","41491","True"
"resseguradora admitida::41629","Resseguradora Admitida","SCOR REINSURANCE COMPANY","09.486.271/0001-73","","","RIO DE JANEIRO - Cep: 20091-007","21","3514-9402 -","3514-9440","www.scor.com","kfujita@scor.com","","41629","True"
"resseguradora admitida::42056","Resseguradora Admitida","ATRADIUS CREDITO Y CAUCION DE SEGUROS Y REASEGUROS SA","51.344.753/0001-55","","","SÃO PAULO - Cep: 04534010","55","30789333 -","00000000","","rachel.mccormac@atradius.com","","42056","True"
"resseguradora admitida::42307","Resseguradora Admitida","XL INSURANCE COMPANY SE","10.257.065/0001-70","","","SÃO PAULO - Cep: 04543-000","11","35139222 -","35139244","","XLC-relacoes.resseguros@xlcatlin.com","","42307","True"
"resseguradora admitida::42684","Resseguradora Admitida","ARGO RE LTD. ESCRITÓRIO DE REPRESENTAÇÃO NO BRASIL LTDA","12.575.275/0001-32","","","SÃO PAULO - Cep: 04534-010","11","3078-9333 -","3078-9333","www.argolimited.com","dbailey@argolimited.com","","42684","True"
"resseguradora admitida::42790","Resseguradora Admitida","SWISS REINSURANCE COMPANY LTD","05.723.273/0001-88","","","SÃO PAULO - Cep: 01451001","11","30738000 -","30738001","","natalia_velasques@swissre.com","","42790","True"
"resseguradora admitida::43419","Resseguradora Admitida","STARR INSURANCE & REINSURANCE LIMITED","20.869.397/0001-60","","","SÃO PAULO - Cep: 05425-070","11","4280-7906 -","","www.starr.com","alida.verleun@starr.com","","43419","True"
"resseguradora admitida::44814","Resseguradora Admitida","PARTNER REINSURANCE EUROPE SE","09.345.630/0001-72","","","SÃO PAULO - Cep: 04103-000","11","33303330 -","","","ronald.kaufmann@controlconsultoria.com.br","","44814","True"
"resseguradora admitida::44920","Resseguradora Admitida","EVEREST REINSURANCE COMPANY","10.223.555/0001-56","","","SÃO PAULO - Cep: 04578000","11","51118292 -","","www.everestglobal.com","helio.noguti@everestglobal.com","","44920","True"
"resseguradora admitida::45004","Resseguradora Admitida","INTACT INSURANCE UK LIMITED","10.274.217/0001-43","","","SÃO PAULO - Cep: 04583-110","11","3376-6351 -","","https://www.intactinsurance.co.uk/","carlos.leonardo@controlconsultoria.com.br","","45004","True"
"resseguradora admitida::45896","Resseguradora Admitida","GARD MARINE & ENERGY LIMITED","15.663.621/0001-22","","","RIO DE JANEIRO - Cep: 20040905","21","22522500 -","","www.gard.no","nilo@nmassess.com.br","","45896","True"
"resseguradora admitida::46507","Resseguradora Admitida","AXIS RE SE","11.499.800/0001-15","","","SAO PAULO - Cep: 01418-000","5511","48375705 -","","https://www.axiscapital.com/","maria.sweeney@axiscapital.com","","46507","True"
"resseguradora admitida::47082","Resseguradora Admitida","HDI GLOBAL NETWORK AG","05.547.043/0001-05","","","SÃO PAULO - Cep: 04571-020","11","55082143 -","55082143","https://www.hdi.global/de-de/","igor.beo@hdi.com.br","","47082","True"
"resseguradora admitida::47724","Resseguradora Admitida","MITSUI SUMITOMO INSURANCE COMPANY, LIMITED","05.598.097/0001-08","","","SÃO PAULO - Cep: 01419000","11","31775801 -","32896997","www.ms-ins.com","msiadm@msig.com.br","","47724","True"
"resseguradora admitida::47741","Resseguradora Admitida","TOKIO MARINE & NICHIDO FIRE INSURANCE CO. LTD","05.711.001/0001-68","","","SÃO PAULO - Cep: 04004000","11","3054-7433 -","3054-7373","https://www.tokiomarine-nichido.co.jp","tmer@tokiomarine.com.br","","47741","True"
"resseguradora admitida::47848","Resseguradora Admitida","BERKLEY INSURANCE COMPANY","17.255.520/0001-48","","","SÃO PAULO - Cep: 04543-011","11","3848-1646 -","3848-1646","www.berkley.com.br","rmenezes@berkley.com.br","","47848","True"
"resseguradora admitida::48186","Resseguradora Admitida","MÜNCHENER RÜCKVERSICHERUNGS-GESSELLSCHAFT AKTIENGESELLSCHAFT IN MÜNCHEN","05.707.257/0001-00","","","SAO PAULO - Cep: 04538132","11","51021500 -","51021500","www.munichre.com","mrbrasil_ofertas@munichre.com","","48186","True"
"resseguradora admitida::48275","Resseguradora Admitida","ZURICH INSURANCE COMPANY LTD.","05.617.056/0001-03","","","SAO PAULO - Cep: 04576010","5511","2313-8500 -","2313-4838","","edson.franco@zurich.com","","48275","True"
"resseguradora admitida::49131","Resseguradora Admitida","ARCH REINSURANCE LTD.","16.809.990/0001-43","","","SÃO PAULO - Cep: 04543011","11","98969-0731 -","","","ronald.kaufmann@controlconsultoria.com.br","","49131","True"
"resseguradora admitida::49760","Resseguradora Admitida","AMERICAN HOME ASSURANCE COMPANY","05.489.278/0001-98","","","SÃO PAULO - Cep: 04583-110","11","08007266130 -","38092111","www.aig.com","Ofertas.AHAC@AIG.com","","49760","True"
"resseguradora eventual::50075","Resseguradora Eventual","SIRIUSPOINT INTERNATIONAL INSURANCE CORPORATION","../-","","","RIO DE JANEIRO - Cep:","21","3970-7200 -","","SEM INFORMACAO","guilherme.bernardes@cgvadvogados.com.br","","50075","True"
"resseguradora eventual::50091","Resseguradora Eventual","ARCH INSURANCE COMPANY","../-","","","SÃO PAULO - Cep:","11","56431067 -","","SEM INFORMACAO","apcosta@santosbevilaqua.com.br","","50091","True"
"resseguradora eventual::50121","Resseguradora Eventual","TRANSATLANTIC REINSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 05419001","11","996055251 -","","SEM INFORMACAO","apcosta@santosbevilaqua.com.br","","50121","True"
"resseguradora eventual::50211","Resseguradora Eventual","LIBERTY MUTUAL INSURANCE EUROPE SE (ANTIGA LIBERTY MUTUAL INSURANCE EUROPE LIMITED)","../-","","","RIO DE JANEIRO - Cep: 20040003","21","98979-7541 -","","SEM INFORMACAO","fabiano.salvatori@libertyglobalgroup.com","","50211","True"
"resseguradora eventual::50326","Resseguradora Eventual","AGEAS SA/NV","../-","","","SÃO PAULO - Cep:","11","3443-7155 -","","SEM INFORMACAO","tfb@mandat.com.br","","50326","True"
"resseguradora eventual::50601","Resseguradora Eventual","AMERICAN LIFE INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 04571010","11","55012622 -","","SEM INFORMACAO","gtoledo@METLIFE.COM","","50601","True"
"resseguradora eventual::50679","Resseguradora Eventual","JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A)","../-","","","SÃO PAULO - Cep: 05419001","11","33561821 -","","SEM INFORMACAO","aalarcon@demarest.com.br","","50679","True"
"resseguradora eventual::50806","Resseguradora Eventual","AFRICAN REINSURANCE CORPORATION","../-","","","SÃO PAULO - Cep: 01418000","11","38864860 -","","SEM INFORMACAO","crislocateli@pryorglobal.com","","50806","True"
"resseguradora eventual::50822","Resseguradora Eventual","ALLIANZ GLOBAL CORPORATE & SPECIALTY SE","../-","","","SÃO PAULO - Cep: 05425000","11","964982532 -","","SEM INFORMACAO","felipe.orsi@allianz.com","","50822","True"
"resseguradora eventual::50938","Resseguradora Eventual","BALOISE INSURANCE LTD","../-","","","SÃO PAULO - Cep: 01310200","11","2126-4600 -","","SEM INFORMACAO","cer@lrilaw.com.br","","50938","True"
"resseguradora eventual::51063","Resseguradora Eventual","SEOUL GUARANTEE INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 04534010","11","3078-9333 -","","SEM INFORMACAO","staff@ pikielny.com .br","","51063","True"
